time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2022-06-07 04:28:07.064 UTC, , , , , , , , , ,125,3159893,14040, , ,3, ,9, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1377,1,744,744,1, ,2,4,1427,44197621760,57,57,57,57, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1654576086895,,, , , , , , , , , ,3145728,1377,43,43,28,43, , , ,4,4,3,5, ,3,5, , , , , ,38,1, , , ,2105344,3,1389,5, , , , , , ,24,118,75596896,3, , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-06-07 04:28:33.202 UTC, , , , , , , , , ,125,3185317,39464, , ,4, ,90, , , , , , , , , ,4,4, , , , ,2,4, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,1427,44197621760,57,57,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1654576086895,,, , , , , , , , , ,3145728,5547,63,63,63,63, , , , , ,2,31, ,3,1, , , , , , , , , , ,8192,2,4147,31, , , , , , ,78,420,111662592,3, , , , , , ,69, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , ,35, , , , , , , , , , 
2022-06-07 04:28:38.235 UTC, , , , , , , , , ,125,3174413,27664,896, ,4, ,41,3,0.07, , , , , , , ,4,4, ,2, ,2,2,4, ,39,27, , , , , , , , , , , , , ,8079,2, ,5646, , , , ,8126,44195561472,51,51,51,51, , , , , ,1,88, , , , , , , , , , , , , , , , , , , , , , , , , ,8126,1654576118164,,, , , , , , , , , ,3145728,8079, , , , , , ,36, , ,3, , ,3, , ,36,1,4096,1, , , , , ,21022202,48, , , , , , , , ,21,85,117977144,3, , , , , , ,42, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , , , 
2022-06-07 04:29:38.237 UTC, , , , , , , , , ,125,3209109,61128,2128, ,11, ,103,1,0.01, , , , , , , ,11,11, , , ,2,6,14, ,25,22, , , , , , , , , , , , , ,8079,2, ,5646, , , , ,10938,43968970752,56,56,56,56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10938,1654576118164,,, , , , , , , , , ,3145728,10911,0,0,0,0, , ,23, , ,2,12, ,3,1, ,23,1, , , , , , , ,9741,25,2812,12, , , , , , ,69,410,177155888,3, , , , , , ,103, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,30, , ,30,40,5, , , , , , , , , 
2022-06-07 04:30:38.240 UTC, , , , , , , , , ,125,3209109,61128,2128, ,11, ,4, , , , , , , , , ,11,11, , , ,2,6,14, ,1, , , , , , , , , , , , , , ,8079,2, ,5646, , , , ,10938,43760701440,56,56,56,56, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,10938,1654576118164,,, , , , , , , , , ,3145728,10911, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , ,1,17,106471544,2, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , 
2022-06-07 04:31:38.242 UTC, , , , , , , , , ,589,3211861,63416,2128, ,11, ,82, , , , , , , , , ,11,11, , , ,2,6,12, ,12, , , , , , , , , , , , , , ,8079,2, ,5646, , , , ,13383,43769405440,53,53,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13383,1654576118164,,, , , , , , , , , ,3145728,13356,76,76,76,76, , , , , , ,15, ,3,1, , ,1, , , , , , , , , ,2445,15, , , , , , , , ,147366008,4, , , , , , ,68, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,21, , ,37,18,6, , , , , , , , , 
2022-06-07 04:32:38.246 UTC, , , , , , , , , ,589,3211861,63416,2128, ,11, ,4, , , , , , , , , ,11,11, , , ,2,6,12, ,1, , , , , , , , , , , , , , ,8079,2, ,5646, , , , ,13383,43746725888,53,53,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13383,1654576118164,,, , , , , , , , , ,3145728,13356, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,163094648,3, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , 
2022-06-07 04:33:38.249 UTC, , , , , , , , , ,589,3211861,63416,2128, ,11, ,4, , , , , , , , , ,11,11, , , ,2,6,12, ,1, , , , , , , , , , , , , , ,8079,2, ,5646, , , , ,13383,43752366080,53,53,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13383,1654576118164,,, , , , , , , , , ,3145728,13356, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,178823288,2, , , , , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,2, , , , , , , , , , 
2022-06-07 04:34:38.251 UTC, , , , , , , , , ,589,3235989,87544,2128, ,18, ,97, , , , , , , , , ,18,18, , , ,2,13,18, ,5, , , , , , , , , , , , , , ,8079,2, ,5646, , , , ,13383,43752509440,53,53,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13383,1654576118164,,, , , , , , , , , ,3145728,17703, , , , , , , , , , ,13, ,3, , , ,1, , , , , , , , , ,4347,13, , , , , , ,1,8,80100352,3, , , , , , ,94, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,33, , ,37,36,12, , , , , , , , , 
2022-06-07 04:35:38.255 UTC, , , , , , , , , ,589,3235989,87544,2128, ,18, ,6, , , , , , , , , ,18,18, , , ,2,13,18, ,3, , , , , , , , , , , , , , ,8079,2, ,5646, , , , ,17730,43751563264,55,55,55,55, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,17730,1654576118164,,, , , , , , , , , ,3145728,17703,71,71,71,71, , , , , , , , ,3,1, , ,1, , , , , , , , , , , , , , , , , , , ,94780416,1, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,1, , , , , , , , , , 
