time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2022-06-07 04:28:08.958 UTC, , , , , , , , , ,125,3169453,22816,784, ,3, ,30, , , , , , , , , ,3,3, , , , ,1,3, , , , , , , , , , , , , , , , ,1377,1,744,744,1, ,2,4,1427,44197470208,57,57,57,57, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1654576088769,,, , , , , , , , , ,3145728,2344,41,41,27,41, , , ,4,4,5,12, ,3,5, , , , , ,38,1, , , ,2113536,5,2333,12, , , , , , ,26,128,81213248,3, , , , , , ,30, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,11, , , , , , , , , , 
2022-06-07 04:28:33.153 UTC, , , , , , , , , ,125,3181077,35224, , ,4, ,51, , , , , , , , , ,4,4, , , , ,2,4, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,1427,44197470208,57,57,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1654576088769,,, , , , , , , , , ,3145728,4666,48,48,48,48, , , , , , ,18, ,3,1, , , , , , , , , , , , ,2322,18, , , , , , ,76,410,110614016,3, , , , , , ,36, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9, , , ,18, , , , , , , , , , 
2022-06-07 04:28:38.088 UTC, , , , , , , , , ,125,3161461,15608, , ,3, ,25,3,0.12, , , , , , , ,3,3, ,2, ,2,1,4, ,23,12, , , , , , , , , , , , , ,6808,2, ,4763, , , , ,6855,44195586048,51,51,51,51, , , , , ,1,79, , , , , , , , , , , , , , , , , , , , , , , , , ,6855,1654576117875,,, , , , , , , , , ,3145728,6808, , , , , , ,20, , ,2, , ,3, , ,20, ,4096,1, , , , , ,21009070,31, , , , , , , , ,20,80,97527024,3, , , , , , ,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-06-07 04:29:38.091 UTC, , , , , , , , , ,125,3204165,56520,1792, ,11, ,69,1,0.01, , , , , , , ,11,11, , , ,2,6,14, ,33,31, , , , , , , , , , , , , ,6808,2, ,4763, , , , ,6855,43984957440,51,51,51,51, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6855,1654576117875,,, , , , , , , , , ,3145728,8696,1,1,1,1, , ,33, , ,3,9, ,3,1, ,33,1, , , , , , , ,22372,36,1868,9, , , , , , ,70,415,174010160,3, , , , , , ,83, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,19, , ,14,38,1, , , , , , , , , 
2022-06-07 04:30:38.095 UTC, , , , , , , , , ,125,3204165,56520,1792, ,11, , , , , , , , , , , ,11,11, , , ,2,6,14, , , , , , , , , , , , , , , , ,6808,2, ,4763, , , , ,8723,43760701440,57,57,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8723,1654576117875,,, , , , , , , , , ,3145728,8696, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , ,1,17,106471544,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-06-07 04:31:38.097 UTC, , , , , , , , , ,125,3204165,56520,1792, ,11, , , , , , , , , , , ,11,11, , , ,2,6,14, , , , , , , , , , , , , , , , ,6808,2, ,4763, , , , ,8723,43769409536,57,57,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8723,1654576117875,,, , , , , , , , , ,3145728,8696, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,146317432,4, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-06-07 04:32:38.100 UTC, , , , , , , , , ,125,3204165,56520,1792, ,11, , , , , , , , , , , ,11,11, , , ,2,6,14, , , , , , , , , , , , , , , , ,6808,2, ,4763, , , , ,8723,43746729984,57,57,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8723,1654576117875,,, , , , , , , , , ,3145728,8696, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,162046072,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-06-07 04:33:38.102 UTC, , , , , , , , , ,125,3204165,56520,1792, ,11, , , , , , , , , , , ,11,11, , , ,2,6,14, , , , , , , , , , , , , , , , ,6808,2, ,4763, , , , ,8723,43752366080,57,57,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8723,1654576117875,,, , , , , , , , , ,3145728,8696, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,177774712,2, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-06-07 04:34:38.105 UTC, , , , , , , , , ,125,3204165,56520,1792, ,11, , , , , , , , , , , ,11,11, , , ,2,6,14, , , , , , , , , , , , , , , , ,6808,2, ,4763, , , , ,8723,43752419328,57,57,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8723,1654576117875,,, , , , , , , , , ,3145728,8696, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , ,1,8,80100352,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-06-07 04:35:38.107 UTC, , , , , , , , , ,125,3204165,56520,1792, ,11, , , , , , , , , , , ,11,11, , , ,2,6,14, , , , , , , , , , , , , , , , ,6808,2, ,4763, , , , ,8723,43751563264,57,57,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8723,1654576117875,,, , , , , , , , , ,3145728,8696, , , , , , , , , , , , ,3, , , ,1, , , , , , , , , , , , , , , , , , , ,94780416,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
