time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2022-06-07 04:27:51.903 UTC, , , , , , , , , ,125,3162661,16584,224, ,3, ,15, , , , , , , , , ,3,3, , , , ,1,3, , , , , , , , , , , , , , , , ,1377,1,744,744,1, ,2,4,1427,44197789696,57,57,57,57, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1654576071607,,, , , , , , , , , ,3145728,1377,30,30,19,30, , , ,4,4,3,7, ,3,5, , , , , ,38,1, , , ,2113536,3,1389,5, , , , , , ,20,85,58203488,3, , , , , , ,15, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-06-07 04:27:58.514 UTC, , , , , , , , , ,125,3192525,46672, , ,4, ,120, , , , , , , , , ,4,4, , , , ,2,4, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,1427,44197789696,57,57,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1654576071607,,, , , , , , , , , ,3145728,6509, , , , , , , , , ,2,24, ,3, , , , , , , , , , , , ,2,5109,26, , , , , , ,3,31,100887104,3, , , , , , ,87, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18, , , ,52, , , , , , , , , , 
2022-06-07 04:28:04.166 UTC, , , , , , , , , ,125,3163141,17152,136, ,3, ,27,3,0.11, , , , , , , ,3,3, ,2, ,2,1,3, ,25,14, , , , , , , , , , , , , ,9560,2, ,6610, , , , ,9607,44197666816,53,53,53,53, , , , , ,1,106, , , , , , , , , , , , , , , , , , , , , , , , , ,9607,1654576083951,,, , , , , , , , , ,3145728,9560, , , , , , ,20, , ,2, , ,3, , ,20, ,4096,1, , , , , ,21013306,31, , , , , , , , ,20,95,101556968,3, , , , , , ,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-06-07 04:28:33.071 UTC, , , , , , , , , ,125,3249501,103648, , ,4, ,366,1,0.00, , , , , , , ,4,4, , , ,2,2,4, ,48,47, , , , , , , , , , , , , ,9560,2, ,6610, , , , ,9607,44197666816,53,53,53,53, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9607,1654576083951,,, , , , , , , , , ,3145728,21885,60,60,60,60, , ,51, , ,3,98, ,3,1, ,51,1, , , , , , , ,19395,54,12306,98, , , , , , ,82,443,110614016,3, , , , , , ,290, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,50, , ,18,131, , , , , , , , , , 
2022-06-07 04:28:38.307 UTC, , , , , , , , , ,125,3164741,18888, , ,3, ,25,3,0.12, , , , , , , ,3,3, ,2, ,2,1,4, ,25,13, , , , , , , , , , , , , ,29700,3, ,21987, , , , ,29748,44195536896,46,46,46,46, , , , , ,1,269, , , , , , , , , , , , , , , , , , , , , , , , , ,29748,1654576118246,,, , , , , , , , , ,3145728,29700, , , , , , ,21, , ,2, , ,3, , ,21, ,4096,1, , , , , ,21009162,32, , , , , , , , ,22,90,126688432,3, , , , , , ,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2022-06-07 04:29:38.309 UTC, , , , , , , , , ,1909,4028981,872944,8400, ,39, ,6459,1,0.00, , , , , , , ,39,31, , , ,5,29,33, ,1076,149, , , , , , , , , , , , , ,29700,3, ,21987, , , , ,29748,44195536896,46,46,46,46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,29748,1654576118246,,, , , , , , , , , ,3145728,813635,67,67,46,67, , ,151, , ,3,338, ,3,2, ,151,1, , , , , , , ,30271,154,783917,338, , , , , , ,68,405,177155888,3, , , , , , ,5447, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1370, ,43,2113,2062,848, , , , , , , , , 
2022-06-07 04:30:38.313 UTC, , , , , , , , , ,1909,4113341,957304,8400, ,42, ,442, , , , , , , , , ,42,34, , , ,5,32,36, ,237, , , , , , , , , , , , , , ,29700,3, ,21987, , , , ,890852,43760701440,84,84,84,84, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,890852,1654576118246,,, , , , , , , , , ,3145728,890822,57,57,36,57, , , , , , ,8, ,3,2, , ,1, , , , , , , , , ,77187,8, , , , , , ,1,17,107520120,2, , , , , , ,536, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,23, ,145,350,65,9, , , , , , , , , 
2022-06-07 04:31:38.317 UTC, , , , , , , , , ,1909,4092373,936336,8400, ,47, ,474, , , , , , , , , ,47,38, , , ,5,36,40, ,222, , , , , , , , , , , , , , ,29700,3, ,21987, , , , ,936891,43760320512,76,76,76,76, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,936891,1654576118246,,, , , , , , , , , ,3145728,942325,65,65,65,65, , , , , , ,25, ,3,1, , ,1, , , , , , , , , ,51503,25, , , , , , , , ,147366008,4, , , , , , ,626, , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13, ,40, ,169,351,55,14, , , , , , , , , 
2022-06-07 04:32:38.320 UTC, , , , , , , , , ,1909,4055285,899248,8400, ,47, ,291, , , , , , , , , ,47,38, , , ,5,36,40, ,137, , , , , , , , , , , , , , ,29700,3, ,21987, , , , ,945599,43746721792,71,71,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,945599,1654576118246,,, , , , , , , , , ,3145728,945569,207,207,82,207, , , , , , ,3, ,3,3, , ,1, , , , , , , , , ,3244,3, , , , , , , , ,163094648,3, , , , , , ,344, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,8, ,4, ,87,224,38,4, , , , , , , , , 
2022-06-07 04:33:38.321 UTC, , , , , , , , , ,1909,4054109,898072,8400, ,47, ,265, , , , , , , , , ,47,38, , , ,5,36,40, ,125, , , , , , , , , , , , , , ,29700,3, ,21987, , , , ,945599,43743666176,71,71,71,71, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,945599,1654576118246,,, , , , , , , , , ,3145728,946467,14,14,14,14, , , , , , ,1, ,3,1, , ,1, , , , , , , , , ,898,1, , , , , , , , ,178823288,2, , , , , , ,321, , , , , ,6, , , , , , , , , , , , , , , , , , , , , , ,11, ,1, ,87,197,30,2, , , , , , , , , 
